AsrClassCode,AsrLandUse1,AsrLanduse2,ColCityBlock,ColParcelId,ColParcel,HANDLE,HighAddrNum,HighAddrSuf,LowAddrNum,LowAddrSuf,NBRHD,ParcelId,SITEADDR,StdUnitNum,StName,StPreDir,StSufDir,StType,ZIP
100,1120,0,397300,39730002201,2201,13973000220,1117,,1115,,39,39739220000,"1115 TOWER GROVE AV",,TOWER GROVE,,,AV,63110
100,1110,0,397600,39760003300,3300,13976000330,4337,,4337,,39,39769330000,"4337 NORFOLK AV",,NORFOLK,,,AV,63110
200,3000,0,394500,39450000200,200,13945000020,3903,,3901,,37,39459020000,"3901 CHOUTEAU AV",,CHOUTEAU,,,AV,63110
200,3000,0,395500,39550001800,1800,13955000180,725,,725,,39,39559180000,"725 ST BERNARDS LA",,ST BERNARDS,,,LA,63110
247,5000,0,395700,39570001171,1171,13957000117,4099,,4001,,39,39579117000,"4001 CHOUTEAU AV",,CHOUTEAU,,,AV,63110
14,3000,0,396613,39661302250,2250,13966130225,717,,711,,38,39669030000,"711 N BOYLE AV",,BOYLE,N,,AV,63110
199,1111,0,397300,39730003250,3250,13973000325,4329,,4329,,39,39739325000,"4329 SWAN AV",,SWAN,,,AV,63110
100,1111,0,397300,39730003350,3350,13973000335,4331,,4331,,39,39739335000,"4331 SWAN AV",,SWAN,,,AV,63110
100,1110,0,397300,39730003400,3400,13973000340,4335,,4335,,39,39739340000,"4335 SWAN AV",,SWAN,,,AV,63110
100,1110,0,397600,39760003800,3800,13976000380,4353,,4353,,39,39769380000,"4353 NORFOLK AV",,NORFOLK,,,AV,63110
100,1110,0,397600,39760003900,3900,13976000390,4359,,4359,,39,39769390000,"4359 NORFOLK AV",,NORFOLK,,,AV,63110
6,5000,0,397900,39790000400,400,13979000040,4341,,4341,,39,39799040000,"4341 VISTA AV",,VISTA,,,AV,63110
35,3000,0,391904,39190400800,800,13919040080,4030,,4030,,38,39199160000,"4030 LACLEDE AV",,LACLEDE,,,AV,63108
200,5000,0,391903,39190301557,1557,13919030155,3748,,3712,,37,39199055000,"3712 LACLEDE AV",,LACLEDE,,,AV,63108
200,3000,0,392200,39220001650,1650,13922000165,4016,,4016,,38,39229165000,"4016 MCPHERSON AV",,MCPHERSON,,,AV,63108
200,5811,0,392200,39220001950,1950,13922000195,4039,,4021,,38,39229195000,"4021 LINDELL BLVD",,LINDELL,,,BLVD,63108
39,5000,0,392700,39270001950,1950,13927000195,3733,,3733,,37,39279195000,"3733 WEST PINE MALL",,WEST PINE,,,MALL,63108
200,5000,0,395700,39570001810,1810,13957000181,927,,901,,39,39579181000,"901 S VANDEVENTER AV",,VANDEVENTER,S,,AV,63110
200,3000,0,394200,39420000150,150,13942000015,3850,,3850,R,28,39429015000,"3850 R CHOUTEAU AV",,CHOUTEAU,,,AV,63110
35,3000,0,391904,39190401000,1000,13919040100,4022,,4022,,38,39199170000,"4022 LACLEDE AV",,LACLEDE,,,AV,63108
200,5800,0,394200,39420000200,200,13942000020,3800,,3800,,28,39429020000,"3800 CHOUTEAU AV",,CHOUTEAU,,,AV,63110
200,3000,0,394200,39420000300,300,13942000030,1221,,1021,,28,39429030000,"1021 S 39TH ST",,39TH,S,,ST,63110
35,5000,0,392100,39210004200,4200,13921000420,4021,,4021,,38,39219420000,"4021 WEST PINE BLVD",,WEST PINE,,,BLVD,63108
100,1110,0,392600,39260004500,4500,13926000450,3811,,3811,,77,39269450000,"3811 WESTMINSTER PL",,WESTMINSTER,,,PL,63108
20,1110,0,392600,39260004850,4850,13926000485,3821,,3815,,77,39269485000,"3815 WESTMINSTER PL",,WESTMINSTER,,,PL,63108
100,1010,0,392300,39230001800,1800,13923000180,4000,,4000,,38,39239180000,"4000 WESTMINSTER PL",,WESTMINSTER,,,PL,63108
100,1110,0,392600,39260005100,5100,13926000510,3841,,3841,,77,39269510000,"3841 WESTMINSTER PL",,WESTMINSTER,,,PL,63108
100,1010,0,392600,39260005250,5250,13926000525,3845,,3845,,77,39269525000,"3845 WESTMINSTER PL",,WESTMINSTER,,,PL,63108
29,3000,0,391903,39190302950,2950,13919030295,23,,23,,37,39199085000,"23 S SPRING AV",,SPRING,S,,AV,63108
200,5811,0,392700,39270000200,200,13927000020,3852,,3852,,37,39279020000,"3852 LINDELL BLVD",,LINDELL,,,BLVD,63108
100,1185,0,391903,39190303050,3050,13919030305,3717,,3711,,37,39199090000,"3711 FOREST PARK AV",,FOREST PARK,,,AV,63108
35,5000,0,392100,39210004350,4350,13921000435,4025,,4025,,38,39219435000,"4025 WEST PINE BLVD",,WEST PINE,,,BLVD,63108
100,1185,0,392100,39210004800,4800,13921000480,4051,,4045,,38,39219480000,"4045 WEST PINE BLVD",,WEST PINE,,,BLVD,63108
100,1010,0,391500,39150002200,2200,13915000220,4142,,4142,,38,39159220000,"4142 WEST PINE BLVD",,WEST PINE,,,BLVD,63108
35,3000,0,391600,39160000600,600,13916000060,4101,,4101,,38,39169060000,"4101 FOREST PARK AV",,FOREST PARK,,,AV,63108
35,3000,0,391600,39160000850,850,13916000085,4141,,4121,,38,39169085000,"4121 FOREST PARK AV",,FOREST PARK,,,AV,63108
100,1140,0,391904,39190400200,200,13919040020,4056,,4054,,38,39199130000,"4054 LACLEDE AV",,LACLEDE,,,AV,63108
100,1110,0,391904,39190400300,300,13919040030,4048,,4048,,38,39199135000,"4048 LACLEDE AV",,LACLEDE,,,AV,63108
100,1110,0,391200,39120005700,5700,13912000570,4138,,4138,,38,39129570000,"4138 WESTMINSTER PL",,WESTMINSTER,,,PL,63108
147,1110,0,391301,39130100611,611,13913010061,4234,,4234,,38,39139025000,"4234 MARYLAND AV",,MARYLAND,,,AV,63108
147,1110,0,391301,39130100621,621,13913010062,4232,,4232,,38,39139030000,"4232 MARYLAND AV",,MARYLAND,,,AV,63108
199,1110,0,391302,39130203401,3401,13913020340,4243,,4243,,38,39139370000,"4243 MARYLAND AV",,MARYLAND,,,AV,63108
200,5000,0,391393,39139350001,50001,13913020353,4245,,4245,,38,39139350001,"4245 MARYLAND AV",,MARYLAND,,,AV,63108
100,1110,0,391302,39130203800,3800,13913020380,4253,,4253,,38,39139390000,"4253 MARYLAND AV",,MARYLAND,,,AV,63108
100,1110,0,391302,39130203901,3901,13913020390,4257,,4257,,38,39139395000,"4257 MARYLAND AV",,MARYLAND,,,AV,63108
100,1120,0,137900,13790001600,1600,11379000160,2712,,2712,,24,13799160000,"2712 ACCOMAC ST",,ACCOMAC,,,ST,63104
100,1120,0,137900,13790001750,1750,11379000175,2706,,2706,,24,13799175000,"2706 ACCOMAC ST",,ACCOMAC,,,ST,63104
